Rank,Country,2019_Rank,2019_Score,2019_country_code,2019_income_group,2019_total_gdp_million,2020_Rank,2020_Score,2020_country_code,2020_income_group,2020_total_gdp_million,2021_Rank,2021_Score,2021_country_code,2021_income_group,2021_total_gdp_million,2022_Rank,2022_Score,2022_country_code,2022_income_group,2022_total_gdp_million,2023_Rank,2023_Score,2023_country_code,2023_income_group,2023_total_gdp_million,2024_Rank,2024_Score,2019_porcentaje
80,Japan,67.0,70.64,JPN,Ingreso Alto,5117993.85301651,66.0,71.14,JPN,Ingreso Alto,5055587.09350159,67.0,71.12,JPN,Ingreso Alto,5034620.78458498,71.0,64.37,JPN,Ingreso Alto,4256410.76072375,68.0,63.95,JPN,Ingreso Alto,4204494.80243155,70.0,62.12,35.84
81,Jordan,130.0,56.89,JOR,Países De Ingreso Mediano Bajo,44503.0063380282,128.0,57.92,JOR,Países De Ingreso Mediano Bajo,43700.3830985916,129.0,57.11,JOR,Países De Ingreso Mediano Bajo,46296.1001408451,120.0,48.66,JOR,Países De Ingreso Mediano Bajo,48764.9633802817,146.0,42.79,JOR,Países De Ingreso Mediano Bajo,50967.4753521127,132.0,44.3,0.31
82,Kazakhstan,158.0,47.18,KAZ,Ingreso Mediano Alto,181667.184854501,157.0,45.89,KAZ,Ingreso Mediano Alto,171082.365861423,155.0,49.72,KAZ,Ingreso Mediano Alto,197112.255360612,122.0,48.28,KAZ,Ingreso Mediano Alto,225496.328925494,134.0,45.87,KAZ,Ingreso Mediano Alto,262641.892078524,142.0,41.11,1.27
83,Kenya,100.0,67.56,KEN,Países De Ingreso Mediano Bajo,100378.436207371,103.0,66.28,KEN,Países De Ingreso Mediano Bajo,100657.505750545,102.0,66.35,KEN,Países De Ingreso Mediano Bajo,109703.658904994,69.0,64.59,KEN,Países De Ingreso Mediano Bajo,114448.978152637,116.0,51.15,KEN,Países De Ingreso Mediano Bajo,108038.588970595,102.0,53.22,0.7
84,Kosovo,75.0,70.32,,,,70.0,70.67,,,,78.0,69.68,,,,61.0,67.0,,,,56.0,68.38,,,,75.0,60.19,
85,Kuwait,108.0,66.14,KWT,Ingreso Alto,140856.39487001998,109.0,65.7,KWT,Ingreso Alto,111045.470461207,105.0,65.64,KWT,Ingreso Alto,148459.291453471,158.0,37.87,KWT,Ingreso Alto,183940.21506517095,154.0,38.84,KWT,Ingreso Alto,163704.87887585,131.0,44.66,0.99
86,Kyrgyzstan,83.0,70.08,KGZ,Países De Ingreso Mediano Bajo,9371.27526436735,82.0,69.81,KGZ,Países De Ingreso Mediano Bajo,8270.46861424051,79.0,69.63,KGZ,Países De Ingreso Mediano Bajo,9249.13394626531,72.0,64.25,KGZ,Países De Ingreso Mediano Bajo,12134.9310179465,122.0,49.91,KGZ,Países De Ingreso Mediano Bajo,13987.6279088381,120.0,49.11,0.07
87,Laos,171.0,35.51,,,,172.0,35.72,,,,172.0,29.44,,,,161.0,36.64,,,,160.0,36.66,,,,153.0,33.76,
88,Latvia,24.0,80.47,LVA,Ingreso Alto,33099.503950847,22.0,81.44,LVA,Ingreso Alto,33379.927434614896,22.0,80.74,LVA,Ingreso Alto,38185.1257329451,22.0,79.17,LVA,Ingreso Alto,38018.905782397,16.0,83.27,LVA,Ingreso Alto,42247.850064512495,12.0,82.9,0.23
89,Lebanon,101.0,67.56,LBN,Países De Ingreso Mediano Bajo,51605.9591312741,102.0,66.81,LBN,Países De Ingreso Mediano Bajo,31712.1282537961,107.0,65.07,LBN,Países De Ingreso Mediano Bajo,23131.941556784303,130.0,46.58,LBN,Países De Ingreso Mediano Bajo,20992.4219488081,119.0,50.46,LBN,Países De Ingreso Mediano Bajo,0.0,140.0,41.91,0.36
90,Lesotho,78.0,70.26,LSO,Países De Ingreso Mediano Bajo,2390.7022958277703,86.0,69.55,LSO,Países De Ingreso Mediano Bajo,2053.69987007191,88.0,68.3,LSO,Países De Ingreso Mediano Bajo,2412.1300565585098,88.0,59.39,LSO,Países De Ingreso Mediano Bajo,2354.6830887199503,67.0,64.29,LSO,Países De Ingreso Mediano Bajo,2117.96245079469,122.0,48.92,0.02
91,Liberia,93.0,68.51,LBR,Países De Ingreso Bajo,3319.5965,95.0,67.75,LBR,Países De Ingreso Bajo,3176.1263,98.0,66.64,LBR,Países De Ingreso Bajo,3513.0495,75.0,62.77,LBR,Países De Ingreso Bajo,4001.047,66.0,64.34,LBR,Países De Ingreso Bajo,4240.0,60.0,65.13,0.02
92,Libya,162.0,44.23,LBY,Ingreso Mediano Alto,69254.4964716938,164.0,44.23,LBY,Ingreso Mediano Alto,46854.285440642,165.0,44.27,LBY,Ingreso Mediano Alto,35217.9956472862,143.0,43.16,LBY,Ingreso Mediano Alto,43246.2979218499,149.0,40.22,LBY,Ingreso Mediano Alto,45096.4629724014,143.0,40.59,0.48
93,Liechtenstein,26.0,79.51,LIE,Ingreso Alto,6436.46700711932,24.0,80.48,LIE,Ingreso Alto,6405.870210322931,23.0,80.51,LIE,Ingreso Alto,7710.38008592257,10.0,84.03,LIE,Ingreso Alto,7361.50443219331,11.0,84.47,LIE,Ingreso Alto,0.0,15.0,81.52,0.05
94,Lithuania,30.0,77.94,LTU,Ingreso Alto,55122.066225796,28.0,78.81,LTU,Ingreso Alto,57412.0385332718,28.0,79.95,LTU,Ingreso Alto,67037.3210089679,9.0,84.14,LTU,Ingreso Alto,71033.88449978239,7.0,86.79,LTU,Ingreso Alto,79789.8774161681,13.0,81.73,0.39
95,Luxembourg,17.0,84.34,LUX,Ingreso Alto,69890.50532358419,17.0,84.54,LUX,Ingreso Alto,73699.36670021339,20.0,82.44,LUX,Ingreso Alto,85584.1059938746,21.0,79.81,LUX,Ingreso Alto,81641.8078657591,20.0,81.98,LUX,Ingreso Alto,85755.00612359759,11.0,83.8,0.49
96,Madagascar,54.0,72.24,MDG,Países De Ingreso Bajo,14104.6646785063,54.0,72.32,MDG,Países De Ingreso Bajo,13051.4412039474,57.0,71.76,MDG,Países De Ingreso Bajo,14554.7541165427,98.0,58.02,MDG,Países De Ingreso Bajo,15134.7002030497,101.0,56.66,MDG,Países De Ingreso Bajo,15790.1132467478,100.0,54.07,0.1
97,Malawi,68.0,70.64,MWI,Países De Ingreso Bajo,11051.8655798121,69.0,70.68,MWI,Países De Ingreso Bajo,11769.3135978545,62.0,71.2,MWI,Países De Ingreso Bajo,12378.1297509872,80.0,61.4,MWI,Países De Ingreso Bajo,12429.060150742,82.0,60.34,MWI,Países De Ingreso Bajo,12712.1500820792,63.0,64.46,0.08
98,Malaysia,123.0,63.26,MYS,Ingreso Mediano Alto,365177.721021516,101.0,66.88,MYS,Ingreso Mediano Alto,337456.163961211,119.0,60.53,MYS,Ingreso Mediano Alto,373784.823672946,113.0,51.55,MYS,Ingreso Mediano Alto,407605.841348235,73.0,62.83,MYS,Ingreso Mediano Alto,399705.169318477,107.0,52.07,2.56
99,Maldives,98.0,67.84,MDV,Ingreso Mediano Alto,5726.094799377091,79.0,70.07,MDV,Ingreso Mediano Alto,3712.6045833666494,72.0,70.87,MDV,Ingreso Mediano Alto,5252.45736955218,87.0,59.55,MDV,Ingreso Mediano Alto,6177.11811394637,100.0,56.93,MDV,Ingreso Mediano Alto,6590.8943019579,106.0,52.36,0.04
100,Mali,112.0,64.77,MLI,Países De Ingreso Bajo,17280.2508100321,108.0,65.88,MLI,Países De Ingreso Bajo,17465.3927643706,99.0,66.5,MLI,Países De Ingreso Bajo,19309.4635080377,111.0,54.48,MLI,Países De Ingreso Bajo,18780.3222037584,113.0,52.29,MLI,Países De Ingreso Bajo,20661.7945960873,114.0,50.56,0.12
101,Malta,77.0,70.26,MLT,Ingreso Alto,16337.7935307788,81.0,69.84,MLT,Ingreso Alto,16385.9195356742,81.0,69.54,MLT,Ingreso Alto,19718.565605433,78.0,61.55,MLT,Ingreso Alto,19209.9799752323,84.0,59.76,MLT,Ingreso Alto,22328.640241555306,73.0,60.96,0.11
102,Mauritania,94.0,68.35,MRT,Países De Ingreso Mediano Bajo,7894.76488582312,97.0,67.46,MRT,Países De Ingreso Mediano Bajo,8260.75238523089,94.0,67.75,MRT,Países De Ingreso Mediano Bajo,9222.53636401272,97.0,58.1,MRT,Países De Ingreso Mediano Bajo,9557.966698253693,86.0,59.45,MRT,Países De Ingreso Mediano Bajo,10651.7094114594,33.0,74.2,0.06
103,Mauritius,58.0,71.54,MUS,Ingreso Mediano Alto,14436.3469796355,56.0,72.0,MUS,Ingreso Mediano Alto,11408.1064463144,61.0,71.26,MUS,Ingreso Mediano Alto,11484.3488578529,64.0,66.07,MUS,Ingreso Mediano Alto,12927.9792860453,63.0,65.56,MUS,Ingreso Mediano Alto,14644.5248190054,57.0,65.55,0.1
104,Mexico,144.0,53.22,MEX,Ingreso Mediano Alto,1304106.2036948102,143.0,54.55,MEX,Ingreso Mediano Alto,1121064.76726188,143.0,53.29,MEX,Ingreso Mediano Alto,1316569.46693259,127.0,47.57,MEX,Ingreso Mediano Alto,1464312.69233158,128.0,47.98,MEX,Ingreso Mediano Alto,1789114.43484346,121.0,49.01,9.13
105,Moldova,91.0,68.79,,,,91.0,68.84,,,,89.0,68.39,,,,40.0,73.47,,,,28.0,77.62,,,,31.0,74.86,
106,Mongolia,70.0,70.49,MNG,Ingreso Mediano Alto,14206.3590175143,73.0,70.39,MNG,Ingreso Mediano Alto,13312.9814290891,68.0,71.03,MNG,Ingreso Mediano Alto,15286.4417376686,90.0,59.17,MNG,Ingreso Mediano Alto,17146.471713748,88.0,59.33,MNG,Ingreso Mediano Alto,20325.1213939074,109.0,51.34,0.1
107,Montenegro,104.0,67.26,MNE,Ingreso Mediano Alto,5542.05418112616,105.0,66.17,MNE,Ingreso Mediano Alto,4769.99686600758,104.0,65.67,MNE,Ingreso Mediano Alto,5861.427505124931,63.0,66.54,MNE,Ingreso Mediano Alto,6229.80158079157,39.0,74.28,MNE,Ingreso Mediano Alto,7530.59337522034,40.0,73.21,0.04
108,Morocco,135.0,56.02,MAR,Países De Ingreso Mediano Bajo,128920.266409458,133.0,57.12,MAR,Países De Ingreso Mediano Bajo,121353.645057144,136.0,56.06,MAR,Países De Ingreso Mediano Bajo,142022.058447231,135.0,45.42,MAR,Países De Ingreso Mediano Bajo,130951.926351241,144.0,43.69,MAR,Países De Ingreso Mediano Bajo,144417.103249646,129.0,45.97,0.9
109,Mozambique,103.0,67.34,MOZ,Países De Ingreso Bajo,15512.759046672,104.0,66.21,MOZ,Países De Ingreso Bajo,14235.4201741884,108.0,64.61,MOZ,Países De Ingreso Bajo,16168.0554754449,116.0,49.89,MOZ,Países De Ingreso Bajo,18883.5285813734,102.0,56.13,MOZ,Países De Ingreso Bajo,20954.220983547297,105.0,52.42,0.11
110,Myanmar,138.0,55.08,MMR,Países De Ingreso Mediano Bajo,75065.10622768919,139.0,55.23,MMR,Países De Ingreso Mediano Bajo,79006.11364319059,140.0,53.86,MMR,Países De Ingreso Mediano Bajo,66345.2911601683,176.0,25.03,MMR,Países De Ingreso Mediano Bajo,62253.0498916449,173.0,28.26,MMR,Países De Ingreso Mediano Bajo,66757.619,171.0,24.41,0.53
111,Namibia,23.0,81.05,NAM,Ingreso Mediano Alto,12541.92830348,23.0,80.75,NAM,Ingreso Mediano Alto,10583.748541525802,24.0,80.28,NAM,Ingreso Mediano Alto,12402.4861836396,18.0,81.84,NAM,Ingreso Mediano Alto,12567.2710046761,22.0,80.91,NAM,Ingreso Mediano Alto,12351.0250669131,34.0,74.16,0.09
112,Nepal,106.0,66.6,NPL,Países De Ingreso Mediano Bajo,34186.1806990255,112.0,64.9,NPL,Países De Ingreso Mediano Bajo,33433.659301246604,106.0,65.38,NPL,Países De Ingreso Mediano Bajo,36924.8413942605,76.0,62.67,NPL,Países De Ingreso Mediano Bajo,41182.93960067,95.0,57.89,NPL,Países De Ingreso Mediano Bajo,40908.0733668455,74.0,60.52,0.24
113,Netherlands,4.0,91.37,NLD,Ingreso Alto,928903.005576469,5.0,90.04,NLD,Ingreso Alto,932560.86170117,6.0,90.33,NLD,Ingreso Alto,1054472.1234496,28.0,77.93,NLD,Ingreso Alto,1046540.79754864,6.0,87.0,NLD,Ingreso Alto,1154361.30539806,4.0,87.73,6.5
114,New Zealand,7.0,89.25,NZL,Ingreso Alto,212846.907683439,9.0,89.31,NZL,Ingreso Alto,212697.53089756,8.0,89.96,NZL,Ingreso Alto,253644.079784977,11.0,83.54,NZL,Ingreso Alto,246733.522841353,13.0,84.23,NZL,Ingreso Alto,252175.506110168,19.0,79.72,1.49
115,Nicaragua,114.0,64.47,NIC,Países De Ingreso Mediano Bajo,12699.028889666,117.0,64.19,NIC,Países De Ingreso Mediano Bajo,12681.5692542815,121.0,60.02,NIC,Países De Ingreso Mediano Bajo,14144.0608531362,160.0,37.09,NIC,Países De Ingreso Mediano Bajo,15649.8971168965,158.0,37.09,NIC,Países De Ingreso Mediano Bajo,17829.2182193591,163.0,29.2,0.09
116,Niger,66.0,70.74,NER,Países De Ingreso Bajo,12889.5555612299,57.0,71.75,NER,Países De Ingreso Bajo,13744.653103058,59.0,71.56,NER,Países De Ingreso Bajo,14915.002436069,59.0,67.8,NER,Países De Ingreso Bajo,15433.8527122963,61.0,66.84,NER,Países De Ingreso Bajo,16819.1704205653,80.0,59.71,0.09
117,Nigeria,120.0,63.5,NGA,Países De Ingreso Mediano Bajo,474517.490844461,115.0,64.37,NGA,Países De Ingreso Mediano Bajo,432198.898467795,120.0,60.31,NGA,Países De Ingreso Mediano Bajo,440833.63587382704,129.0,46.79,NGA,Países De Ingreso Mediano Bajo,477403.400101174,123.0,49.56,NGA,Países De Ingreso Mediano Bajo,363846.332834618,112.0,51.03,3.32
118,North Korea,179.0,16.6,,,,180.0,14.18,,,,179.0,18.72,,,,180.0,13.92,,,,180.0,21.72,,,,177.0,20.66,
119,North Macedonia,95.0,68.34,MKD,Ingreso Mediano Alto,12606.338448547,92.0,68.72,MKD,Ingreso Mediano Alto,12361.0369138409,90.0,68.33,MKD,Ingreso Mediano Alto,14000.2838270154,57.0,68.44,MKD,Ingreso Mediano Alto,13932.4365500883,38.0,74.35,MKD,Ingreso Mediano Alto,15763.621848115,36.0,73.78,0.09
120,Northern Cyprus,74.0,70.33,,,,77.0,70.21,,,,76.0,70.18,,,,81.0,61.08,,,,76.0,61.73,,,,90.0,56.72,
121,Norway,1.0,92.18,NOR,Ingreso Alto,408742.840909091,1.0,92.16,NOR,Ingreso Alto,367633.418886627,1.0,93.28,NOR,Ingreso Alto,503367.986030268,1.0,92.65,NOR,Ingreso Alto,593726.965415619,1.0,95.18,NOR,Ingreso Alto,485310.823603662,1.0,91.89,2.86
122,Oman,132.0,56.58,OMN,Ingreso Alto,88060.8582574772,135.0,56.58,OMN,Ingreso Alto,75909.4928478544,133.0,56.63,OMN,Ingreso Alto,87323.7971391417,163.0,35.99,OMN,Ingreso Alto,111943.823146944,155.0,37.87,OMN,Ingreso Alto,108810.923276983,137.0,42.52,0.62
123,Pakistan,142.0,54.17,PAK,Países De Ingreso Mediano Bajo,320909.47277066903,145.0,54.48,PAK,Países De Ingreso Mediano Bajo,300425.609817981,145.0,53.14,PAK,Países De Ingreso Mediano Bajo,348516.64744514803,157.0,37.99,PAK,Países De Ingreso Mediano Bajo,374890.29566669394,150.0,39.95,PAK,Países De Ingreso Mediano Bajo,337912.301397727,152.0,33.9,2.25
124,Palestine,137.0,55.32,,,,137.0,55.91,,,,132.0,56.82,,,,170.0,28.98,,,,156.0,37.86,,,,157.0,31.92,
125,Panama,79.0,70.22,PAN,Ingreso Alto,69778.9912,76.0,70.22,PAN,Ingreso Alto,57059.8465,77.0,70.06,PAN,Ingreso Alto,67396.3925,74.0,62.78,PAN,Ingreso Alto,76276.1167,69.0,63.67,PAN,Ingreso Alto,83318.1769,83.0,58.55,0.49
126,Papua New Guinea,38.0,75.3,PNG,Países De Ingreso Mediano Bajo,24750.626040591706,46.0,76.07,PNG,Países De Ingreso Mediano Bajo,23848.4478497467,47.0,75.12,PNG,Países De Ingreso Mediano Bajo,26109.413522308103,62.0,66.66,PNG,Países De Ingreso Mediano Bajo,31647.2777673976,59.0,67.62,PNG,Países De Ingreso Mediano Bajo,30729.2429194411,91.0,56.02,0.17
127,Paraguay,99.0,67.6,PRY,Ingreso Mediano Alto,37925.3383291494,100.0,67.03,PRY,Ingreso Mediano Alto,35432.1780681814,100.0,66.48,PRY,Ingreso Mediano Alto,39950.8999387482,96.0,58.36,PRY,Ingreso Mediano Alto,41952.9108580846,103.0,55.96,PRY,Ingreso Mediano Alto,42956.2635439482,115.0,50.48,0.27
128,Peru,85.0,69.78,PER,Ingreso Mediano Alto,228346.006003648,90.0,69.06,PER,Ingreso Mediano Alto,201409.694755934,91.0,68.29,PER,Ingreso Mediano Alto,226354.27828088505,77.0,61.75,PER,Ingreso Mediano Alto,246488.757636211,110.0,52.74,PER,Ingreso Mediano Alto,267603.248655253,125.0,47.76,1.6
129,Philippines,134.0,56.09,PHL,Países De Ingreso Mediano Bajo,376823.402244928,136.0,56.46,PHL,Países De Ingreso Mediano Bajo,361751.145451597,138.0,54.36,PHL,Países De Ingreso Mediano Bajo,394087.35984811,147.0,41.84,PHL,Países De Ingreso Mediano Bajo,404353.369604631,132.0,46.21,PHL,Países De Ingreso Mediano Bajo,437146.372729942,134.0,43.36,2.64
130,Poland,59.0,71.11,POL,Ingreso Alto,602683.77014488,62.0,71.35,POL,Ingreso Alto,605914.2379037419,64.0,71.16,POL,Ingreso Alto,689170.23066535,66.0,65.64,POL,Ingreso Alto,695607.470875276,57.0,67.66,POL,Ingreso Alto,809200.6977970881,47.0,69.17,4.22
131,Portugal,12.0,87.37,PRT,Ingreso Alto,240115.97006301905,10.0,88.17,PRT,Ingreso Alto,229618.77342257695,9.0,89.89,PRT,Ingreso Alto,256055.879091139,7.0,87.07,PRT,Ingreso Alto,256898.675068927,9.0,84.6,PRT,Ingreso Alto,289114.289663542,7.0,85.9,1.68
132,Qatar,128.0,57.49,QAT,Ingreso Alto,176371.267689082,129.0,57.49,QAT,Ingreso Alto,144411.36334527,128.0,57.4,QAT,Ingreso Alto,179732.009554846,119.0,49.03,QAT,Ingreso Alto,235709.325708341,105.0,55.28,QAT,Ingreso Alto,213002.809330267,84.0,58.48,1.24
133,Romania,47.0,74.33,ROU,Ingreso Alto,251677.08253449496,48.0,74.09,ROU,Ingreso Alto,252033.792712145,48.0,75.09,ROU,Ingreso Alto,286578.196368297,56.0,68.46,ROU,Ingreso Alto,296354.358293475,53.0,69.04,ROU,Ingreso Alto,350775.85641518905,49.0,68.45,1.76
134,Russia,149.0,49.69,,,,149.0,51.08,,,,150.0,51.29,,,,155.0,38.82,,,,164.0,34.77,,,,162.0,29.86,
135,Rwanda,155.0,47.57,RWA,Países De Ingreso Bajo,10349.30038033,155.0,49.66,RWA,Países De Ingreso Bajo,10174.3873743478,156.0,49.34,RWA,Países De Ingreso Bajo,11069.280649645902,136.0,45.18,RWA,Países De Ingreso Bajo,13316.1608950447,131.0,46.58,RWA,Países De Ingreso Bajo,14097.7684721883,144.0,40.54,0.07
136,Samoa,22.0,81.75,WSM,Países De Ingreso Mediano Bajo,912.950466064906,21.0,81.75,WSM,Países De Ingreso Mediano Bajo,868.8983582664371,21.0,80.76,WSM,Países De Ingreso Mediano Bajo,843.923638733018,45.0,71.39,WSM,Países De Ingreso Mediano Bajo,832.9452056371849,19.0,82.15,WSM,Países De Ingreso Mediano Bajo,938.189443830393,22.0,78.41,0.01
137,Saudi Arabia,172.0,34.12,SAU,Ingreso Alto,838564.8,170.0,37.86,SAU,Ingreso Alto,734271.2,170.0,37.27,SAU,Ingreso Alto,874156.0,166.0,33.71,SAU,Ingreso Alto,1108571.4666666698,170.0,32.43,SAU,Ingreso Alto,1067582.93333333,166.0,27.14,5.87
138,Senegal,49.0,74.19,SEN,Países De Ingreso Mediano Bajo,23403.9959921354,47.0,76.01,SEN,Países De Ingreso Mediano Bajo,24530.5130377518,49.0,74.78,SEN,Países De Ingreso Mediano Bajo,27520.7841297508,73.0,63.07,SEN,Países De Ingreso Mediano Bajo,27619.4790596131,104.0,55.82,SEN,Países De Ingreso Mediano Bajo,30848.3330837055,94.0,55.44,0.16
139,Serbia,90.0,68.82,SRB,Ingreso Mediano Alto,53864.6936645568,93.0,68.38,SRB,Ingreso Mediano Alto,55874.017668998,93.0,67.97,SRB,Ingreso Mediano Alto,66159.8840725308,79.0,61.51,SRB,Ingreso Mediano Alto,66797.564758339,91.0,59.16,SRB,Ingreso Mediano Alto,81342.6607523732,98.0,54.48,0.38
140,Seychelles,69.0,70.59,SYC,Ingreso Alto,1868.69009673454,63.0,71.34,SYC,Ingreso Alto,1382.55175156908,52.0,74.34,SYC,Ingreso Alto,1487.17379480528,13.0,83.33,SYC,Ingreso Alto,2057.96851983091,34.0,75.71,SYC,Ingreso Alto,2141.45017113932,37.0,73.75,0.01
141,Sierra Leone,86.0,69.64,SLE,Países De Ingreso Bajo,6523.57759038319,85.0,69.72,SLE,Países De Ingreso Bajo,6688.59475762129,75.0,70.39,SLE,Países De Ingreso Bajo,7165.21436764956,46.0,71.03,SLE,Países De Ingreso Bajo,7119.13732190082,74.0,62.55,SLE,Países De Ingreso Bajo,6411.86954628929,64.0,64.27,0.05
142,Singapore,151.0,48.59,SGP,Ingreso Alto,376901.649222451,158.0,44.77,SGP,Ingreso Alto,349488.382610662,160.0,44.8,SGP,Ingreso Alto,434111.559282849,139.0,44.23,SGP,Ingreso Alto,498474.54098778,129.0,47.88,SGP,Ingreso Alto,501427.5000800591,126.0,47.19,2.64
143,Slovakia,35.0,76.42,SVK,Ingreso Alto,105843.498304094,33.0,77.33,SVK,Ingreso Alto,107732.602896441,35.0,76.98,SVK,Ingreso Alto,120592.216208386,27.0,78.37,SVK,Ingreso Alto,115928.615553286,17.0,83.22,SVK,Ingreso Alto,132908.33623429498,29.0,76.03,0.74
144,Slovenia,34.0,77.69,SVN,Ingreso Alto,53909.922735545,32.0,77.36,SVN,Ingreso Alto,53384.760135158096,36.0,76.9,SVN,Ingreso Alto,61529.280461092,54.0,68.54,SVN,Ingreso Alto,59927.7027462843,50.0,70.59,SVN,Ingreso Alto,69148.46841732081,42.0,72.6,0.38
145,Somalia,164.0,42.76,SOM,Países De Ingreso Bajo,8655.023960002001,163.0,44.55,SOM,Países De Ingreso Bajo,8628.39371999922,161.0,44.53,SOM,Países De Ingreso Bajo,9483.99740425227,140.0,44.01,SOM,Países De Ingreso Bajo,10202.7672699603,141.0,44.24,SOM,Países De Ingreso Bajo,10968.5170900004,145.0,39.4,0.06
146,South Africa,31.0,77.81,ZAF,Ingreso Mediano Alto,389330.032224269,31.0,77.59,ZAF,Ingreso Mediano Alto,337974.655408055,32.0,78.41,ZAF,Ingreso Mediano Alto,420886.877628703,35.0,75.56,ZAF,Ingreso Mediano Alto,406920.004594074,25.0,78.6,ZAF,Ingreso Mediano Alto,380699.271814508,38.0,73.73,2.73
147,South Korea,41.0,75.06,,,,42.0,76.3,,,,42.0,76.57,,,,43.0,72.11,,,,47.0,70.83,,,,62.0,64.87,
148,South Sudan,139.0,54.35,SSD,Países De Ingreso Bajo,0.0,138.0,55.51,SSD,Países De Ingreso Bajo,0.0,139.0,54.22,SSD,Países De Ingreso Bajo,0.0,128.0,47.06,SSD,Países De Ingreso Bajo,0.0,118.0,50.62,SSD,Países De Ingreso Bajo,0.0,136.0,42.57,0.0
149,Spain,29.0,78.01,ESP,Ingreso Alto,1403496.38768627,29.0,77.84,ESP,Ingreso Alto,1289783.83697121,29.0,79.56,ESP,Ingreso Alto,1461244.90185269,32.0,76.71,ESP,Ingreso Alto,1446498.14774903,36.0,75.37,ESP,Ingreso Alto,1620090.73495689,30.0,76.01,9.83
150,Sri Lanka,126.0,60.39,LKA,Países De Ingreso Mediano Bajo,89014.9783441404,127.0,58.06,LKA,Países De Ingreso Mediano Bajo,84304.2987705329,127.0,57.8,LKA,Países De Ingreso Mediano Bajo,88609.32490197741,146.0,42.13,LKA,Países De Ingreso Mediano Bajo,74144.87002342439,135.0,45.85,LKA,Países De Ingreso Mediano Bajo,84356.8637436335,150.0,35.21,0.62
151,Sudan,175.0,27.55,SDN,Países De Ingreso Bajo,32338.0791652893,159.0,44.67,SDN,Países De Ingreso Bajo,27034.59375,159.0,47.07,SDN,Países De Ingreso Bajo,34229.5137749936,151.0,40.96,SDN,Países De Ingreso Bajo,51666.8753630963,148.0,40.83,SDN,Países De Ingreso Bajo,109265.503110904,149.0,35.73,0.23
152,Suriname,20.0,83.62,SUR,Ingreso Mediano Alto,4016.04057508796,20.0,82.5,SUR,Ingreso Mediano Alto,2911.80749620227,19.0,83.05,SUR,Ingreso Mediano Alto,3107.92319796954,52.0,68.95,SUR,Ingreso Mediano Alto,3791.6032000259,48.0,70.62,SUR,Ingreso Mediano Alto,3455.14628083975,28.0,76.11,0.03
153,Sweden,3.0,91.69,SWE,Ingreso Alto,532169.29416594,4.0,90.75,SWE,Ingreso Alto,545147.614972141,3.0,92.76,SWE,Ingreso Alto,637186.904843636,3.0,88.84,SWE,Ingreso Alto,579895.717343956,4.0,88.15,SWE,Ingreso Alto,584960.4757673199,3.0,88.32,3.73
154,Switzerland,6.0,89.48,CHE,Ingreso Alto,721369.112726724,8.0,89.38,CHE,Ingreso Alto,741999.406005627,10.0,89.45,CHE,Ingreso Alto,813408.787222499,14.0,82.72,CHE,Ingreso Alto,818426.5502064499,12.0,84.4,CHE,Ingreso Alto,884940.4022304091,9.0,84.01,5.05
155,Syria,174.0,28.22,,,,174.0,27.43,,,,173.0,29.37,,,,171.0,28.94,,,,175.0,27.22,,,,179.0,17.41,
156,Taiwan,42.0,75.02,,,,43.0,76.24,,,,43.0,76.14,,,,38.0,74.08,,,,35.0,75.54,,,,27.0,76.13,
157,Tajikistan,161.0,45.98,TJK,Países De Ingreso Mediano Bajo,8300.8135993084,161.0,44.66,TJK,Países De Ingreso Mediano Bajo,8133.9635506574205,162.0,44.48,TJK,Países De Ingreso Mediano Bajo,8937.805347139629,152.0,40.26,TJK,Países De Ingreso Mediano Bajo,10713.5252003998,153.0,39.06,TJK,Países De Ingreso Mediano Bajo,12060.6020088478,155.0,33.31,0.06
158,Tanzania,118.0,63.72,,,,124.0,59.75,,,,124.0,59.31,,,,123.0,48.28,,,,143.0,44.02,,,,97.0,54.8,
159,Thailand,136.0,55.9,THA,Ingreso Mediano Alto,543976.691793886,140.0,55.06,THA,Ingreso Mediano Alto,500461.898480246,137.0,54.78,THA,Ingreso Mediano Alto,506256.4942973401,115.0,50.15,THA,Ingreso Mediano Alto,495645.21097275097,106.0,55.24,THA,Ingreso Mediano Alto,514968.699239005,87.0,58.12,3.81
160,Timor-Leste,84.0,70.07,TLS,Países De Ingreso Mediano Bajo,2032.5504,78.0,70.1,TLS,Países De Ingreso Mediano Bajo,2162.6192,71.0,70.89,TLS,Países De Ingreso Mediano Bajo,3624.8897,17.0,81.89,TLS,Países De Ingreso Mediano Bajo,3208.594,10.0,84.49,TLS,Países De Ingreso Mediano Bajo,2079.9169,20.0,78.92,0.01
161,Togo,76.0,70.31,TGO,Países De Ingreso Bajo,6992.70010137188,71.0,70.67,TGO,Países De Ingreso Bajo,7400.28416778479,74.0,70.41,TGO,Países De Ingreso Bajo,8342.24364594438,100.0,57.17,TGO,Países De Ingreso Bajo,8169.47614895692,70.0,63.06,TGO,Países De Ingreso Bajo,9171.26183757103,113.0,50.89,0.05
